Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
9,19,2,1228,1,56,50,873,N
10,6,5,754,8,30,54,1449,N
2,24,5,1010,1,10,97,1489,N
1,11,2,1055,7,107,6,491,Y
8,30,2,1931,6,0,27,594,N
12,19,2,1647,3,108,11,475,N
2,10,5,1557,11,42,12,1235,N
8,28,7,1142,1,47,38,336,N
8,31,3,1625,0,23,9,1721,N
4,5,2,1459,3,92,60,1201,N
12,27,3,1110,7,82,98,282,N
1,19,4,1743,6,0,85,303,N
9,19,1,1430,7,56,85,704,N
9,30,5,1905,4,69,18,294,N
8,14,1,1603,8,34,9,954,N
10,27,5,2202,10,23,67,577,Y
1,20,5,1927,1,17,99,573,N
7,4,2,1714,4,11,74,584,N
10,27,5,956,0,25,0,1171,N
6,2,4,654,6,48,13,483,N
8,2,3,1034,0,46,0,247,N
7,31,1,45,6,34,13,1946,Y
7,17,7,1047,4,20,20,373,N
10,12,3,1724,9,3,26,910,Y
3,10,5,727,0,15,0,1213,N
12,28,3,943,12,0,100,215,Y
11,17,4,1900,12,82,101,181,Y
2,22,3,600,4,72,68,543,N
5,3,3,1150,7,109,6,342,N
12,27,2,2224,4,32,73,333,Y
12,22,4,1101,12,96,13,552,N
4,3,7,1644,9,28,32,2338,N
5,24,3,1208,9,32,60,948,Y
11,7,2,1418,6,0,41,874,N
11,25,5,2022,8,62,9,1449,N
6,15,3,1500,0,12,27,987,N
8,1,2,1413,6,0,25,259,N
5,27,5,1102,6,31,13,366,N
4,4,2,1450,4,92,31,1825,N
3,14,1,810,9,110,60,121,N
3,5,6,1149,3,3,102,844,N
5,28,7,1514,2,60,103,1092,N
12,29,4,1941,0,61,11,1120,N
5,27,5,2045,2,92,104,402,N
9,7,3,1608,0,86,88,1121,N
8,27,6,2023,18,28,31,414,N
9,11,1,558,8,62,9,1449,N
2,20,1,1652,2,92,0,1021,N
4,20,3,2111,1,17,105,331,N
9,1,4,1827,3,16,49,532,N
1,17,1,1714,6,2,13,356,N
10,5,3,659,0,51,0,224,N
5,10,3,1003,9,23,68,1835,N
2,24,5,943,3,40,34,291,N
8,16,3,558,8,30,10,697,N
7,23,7,938,5,47,27,453,N
5,19,5,1451,3,25,34,626,N
12,8,5,724,1,19,17,1956,Y
10,22,7,2326,19,39,14,483,Y
4,15,5,1146,6,63,13,1919,N
8,23,3,1015,10,29,0,862,N
9,16,6,1741,10,108,11,475,N
5,20,5,1156,5,38,27,120,N
8,22,2,1114,2,60,38,416,N
8,28,1,1640,0,70,0,468,N
1,16,7,1953,1,47,50,267,N
7,14,4,643,18,34,17,370,N
12,21,3,655,2,41,35,1092,N
9,18,1,1738,0,45,0,1562,N
6,29,4,657,1,104,17,347,Y
9,8,5,1916,2,51,106,1042,N
11,11,6,1036,0,12,107,1231,N
12,28,3,1907,6,16,9,689,N
3,20,7,1239,9,11,11,1515,N
9,21,4,1302,21,53,37,2398,N
10,10,1,2205,6,0,55,1891,Y
10,24,1,1305,3,111,60,517,N
1,25,2,1803,2,112,12,351,N
9,23,6,1533,7,82,108,275,Y
5,10,3,1031,10,25,10,417,N
1,7,5,1333,5,60,16,1008,N
10,15,7,1446,3,23,71,67,N
4,5,2,919,12,94,6,214,N
2,10,5,606,1,21,29,992,N
2,17,5,1637,1,113,105,634,N
7,19,3,701,9,18,11,590,N
8,31,3,1905,4,22,96,296,Y
5,23,1,2055,7,66,6,229,Y
1,27,4,855,1,1,76,952,N
9,9,6,1115,7,114,6,410,N
5,17,2,1702,19,56,48,1005,Y
12,24,6,706,15,3,0,641,N
11,18,6,1426,5,115,16,1013,Y
3,16,4,2027,1,1,29,267,N
3,22,2,1131,0,90,11,837,N
1,27,5,700,10,116,88,201,N
2,15,3,1145,5,55,3,200,N
5,20,6,1035,9,34,1,2217,N
8,16,2,809,3,16,42,422,N
5,12,5,1030,12,0,109,448,N
1,28,6,638,4,37,17,833,N
8,19,6,1450,2,98,2,261,N
11,24,4,1427,5,98,27,231,N
8,15,2,1615,4,47,64,196,N
11,2,3,1008,10,12,45,408,N
11,13,1,746,20,113,13,270,Y
11,9,3,1807,0,12,74,551,N
7,27,4,1435,12,37,34,866,N
1,9,7,1119,3,85,34,188,N
12,14,3,659,0,34,57,2342,N
1,17,2,1246,1,63,17,338,N
1,25,2,626,10,37,11,693,N
2,8,3,547,3,117,110,56,N
2,8,3,1052,1,0,17,1587,N
4,15,6,1342,6,10,13,1587,N
2,27,7,745,20,3,13,1199,N
10,2,1,1640,6,3,13,1199,N
9,10,7,704,20,118,13,781,N
1,29,7,1432,2,51,74,667,N
4,22,5,1438,6,0,91,696,N
3,16,4,1135,5,86,16,1310,Y
8,15,1,855,7,27,51,544,Y
2,1,2,930,6,60,6,569,N
8,7,1,1431,11,119,35,550,N
1,24,2,604,6,67,13,547,N
5,9,1,715,4,92,8,487,N
2,17,4,538,6,4,13,590,N
6,6,2,1748,3,10,20,370,N
12,30,6,1704,1,113,51,329,N
3,22,2,1112,10,23,111,642,N
9,29,4,1220,12,0,79,528,N
3,18,5,1803,1,1,55,2106,N
4,9,7,706,9,35,30,2408,N
7,29,6,1820,14,10,4,1037,N
5,8,1,1002,14,3,112,72,N
5,19,5,1855,8,30,17,1107,N
3,19,6,2017,3,3,102,844,N
1,6,5,601,8,30,20,954,N
5,7,7,1356,9,40,60,649,Y
5,11,3,1344,15,3,103,533,Y
4,28,4,1825,2,120,2,424,N
4,27,4,1512,2,33,12,374,N
5,16,2,849,2,92,113,162,N
9,13,3,1959,11,57,35,1086,N
7,26,2,904,3,48,60,770,N
11,25,5,1257,2,51,85,828,N
6,5,7,1329,6,27,105,214,N
7,27,4,1156,16,121,21,102,N
4,22,6,556,6,86,13,403,N
8,5,6,1609,3,10,20,370,N
4,30,7,1726,15,3,20,862,Y
12,12,1,1059,0,12,48,1391,N
10,5,3,634,15,54,60,804,N
3,20,1,630,14,122,17,509,N
6,14,2,1846,12,123,13,500,N
8,14,7,2213,6,45,13,946,Y
2,23,4,1507,6,0,20,1946,Y
7,28,4,1650,9,28,20,337,N
12,27,2,1909,12,124,13,300,N
10,31,1,1420,4,8,68,361,N
8,11,5,1128,6,48,6,307,N
1,25,2,1540,2,13,12,802,N
7,7,4,2108,7,2,1,534,Y
3,14,2,1308,14,78,60,251,N
11,6,7,2059,0,12,41,247,N
10,19,4,611,3,97,37,751,N
12,23,6,719,5,51,27,1076,N
5,5,5,713,6,14,13,446,N
3,17,4,1851,9,28,0,1464,N
11,2,4,1411,3,34,55,109,N
4,11,2,710,4,86,103,1072,N
12,18,7,1552,11,86,2,895,N
4,9,7,2255,6,32,13,2116,N
1,3,1,2338,18,11,13,1747,Y
8,2,2,909,5,66,114,288,N
8,29,1,1935,4,92,39,307,N
6,26,7,1335,5,5,16,700,N
7,16,6,1633,0,118,0,328,N
2,26,6,2030,0,57,27,1145,Y
9,8,5,1705,4,11,10,386,Y
2,11,5,2128,6,125,13,215,N
6,20,2,903,5,7,27,528,N
10,22,6,730,2,51,97,845,N
11,13,1,1625,11,10,12,1009,N
10,9,1,1544,1,27,50,335,N
10,16,7,1909,4,35,17,646,Y
1,31,2,848,12,37,34,866,N
8,30,3,1829,4,76,115,187,N
11,18,6,1035,12,0,71,669,Y
9,24,6,947,10,45,105,399,N
7,30,6,1228,6,67,5,214,N
7,25,1,1843,0,12,41,247,Y
6,5,1,1908,2,60,111,278,N
4,5,3,830,6,82,9,1964,N
2,27,1,1846,14,19,88,413,N
5,10,2,1939,19,19,55,2253,N
4,15,6,1131,12,0,116,644,N
9,21,4,1948,10,32,55,417,N
3,8,3,1755,4,81,40,237,N
4,21,5,1209,9,28,9,679,Y
7,14,5,1047,0,23,88,867,N
11,16,3,1237,20,0,43,270,N
12,3,6,1230,13,27,30,229,N
6,1,3,1305,20,45,79,549,N
9,4,1,1048,4,25,17,304,N
4,19,2,851,0,48,37,1736,N
5,29,1,1044,10,12,117,328,N
1,12,3,1405,4,32,31,386,N
12,23,5,1608,11,56,35,998,N
6,30,5,556,3,126,34,357,N
11,7,1,1546,11,51,60,861,N
9,17,6,1442,10,12,96,304,N
3,20,7,1238,6,82,103,539,N
7,18,1,843,9,34,32,2486,N
7,18,1,715,4,42,38,255,N
9,1,5,1505,2,51,75,458,Y
10,25,2,1320,2,127,12,308,N
12,27,3,639,0,27,0,1389,N
8,27,7,1006,0,2,11,647,N
12,23,5,710,10,50,38,1162,Y
7,27,4,645,11,7,12,1034,N
2,21,2,1352,6,46,13,874,Y
6,5,7,1158,1,86,50,834,N
8,11,5,1433,9,19,60,1452,N
8,27,6,827,6,0,67,153,N
11,14,2,1409,5,7,1,1310,Y
12,6,3,914,4,42,52,281,N
3,21,2,1459,2,60,22,284,N
3,30,3,924,9,23,88,867,N
12,3,6,1248,3,28,42,192,N
2,9,4,1536,0,128,57,1046,N
1,12,4,1622,6,61,88,1249,N
3,22,3,1244,0,34,35,2454,N
2,4,6,811,0,34,0,1235,N
8,16,2,1525,7,116,6,906,Y
4,5,3,1524,9,30,37,679,N
3,8,2,1330,4,41,39,405,N
6,16,4,1658,5,66,50,201,N
9,25,7,1630,4,81,91,453,N
10,25,2,1429,6,0,118,223,N
12,15,5,1438,11,39,12,1417,Y
2,7,1,1058,1,17,105,331,N
11,11,5,1754,11,66,12,1076,N
10,17,1,1341,11,60,11,719,N
10,21,5,1617,0,27,61,1097,N
8,18,4,558,5,12,27,987,N
2,8,3,1234,0,129,0,281,N
8,17,4,951,4,10,55,304,N
3,11,5,1052,6,4,13,590,N
12,26,1,1055,6,60,6,569,N
7,11,2,1532,10,23,4,416,Y
5,15,7,830,4,76,41,192,N
7,2,7,1505,1,10,50,1813,N
8,9,2,1500,1,67,36,357,N
9,25,7,1855,10,34,55,109,N
9,23,5,1027,5,7,11,334,N
1,15,7,1050,21,121,21,102,N
4,25,1,1043,3,72,9,129,N
8,1,1,950,7,82,88,752,N
9,30,6,1751,4,11,60,629,N
7,6,4,1012,14,78,60,251,Y
3,14,2,844,2,92,14,112,N
2,20,7,1212,4,10,74,347,N
5,24,3,1045,7,82,106,268,N
10,24,1,1034,0,41,0,460,Y
2,12,6,1055,2,51,0,224,N
6,30,5,1543,5,7,82,695,Y
3,31,4,1603,5,30,16,1399,N
11,22,3,2117,11,27,12,1416,Y
7,11,1,853,6,106,13,669,Y
5,29,7,735,3,130,34,320,N
10,2,1,751,4,25,26,480,N
4,26,2,1530,4,42,46,220,N
9,20,2,1634,2,60,119,1130,Y
11,23,3,1520,13,19,120,227,N
9,28,4,819,6,16,31,368,N
12,12,1,1705,2,131,35,642,N
5,24,3,1224,5,30,3,1870,N
7,13,4,855,5,132,16,872,N
11,28,1,615,4,8,10,333,N
11,16,3,1241,19,68,48,2465,N
6,20,1,1055,0,12,73,1189,N
7,5,2,1434,0,45,37,2704,N
10,14,6,1620,11,51,48,1417,N
12,11,1,1520,3,23,3,491,Y
6,1,4,1620,12,129,13,589,Y
9,26,1,2050,0,86,5,950,Y
12,18,7,1328,0,23,88,867,N
8,1,2,2003,4,11,18,1090,N
2,2,4,1610,12,133,13,164,N
7,14,5,1125,10,25,20,109,N
7,21,4,1454,3,34,68,337,N
8,6,6,1647,0,12,55,1171,N
12,20,3,1427,7,27,38,431,Y
11,3,5,2300,8,30,121,224,N
6,19,1,1445,9,19,20,2288,N
4,8,5,2014,9,28,31,414,N
8,27,7,1030,10,5,11,491,N
5,28,6,1930,4,86,39,989,N
4,20,3,1520,11,12,12,224,N
10,22,7,1805,4,34,74,714,N
2,19,6,1449,6,0,113,432,N
2,6,7,1711,9,72,37,550,N
12,17,7,1335,9,11,30,2066,Y
6,30,5,1301,0,28,11,1846,N
1,2,1,757,5,74,27,288,Y
3,27,1,1153,1,27,88,185,N
7,7,4,727,6,86,88,1121,N
7,9,7,550,20,134,13,508,N
12,18,7,730,7,88,6,497,N
7,8,6,715,8,72,55,933,N
8,24,3,619,9,25,60,853,N
7,13,3,701,1,66,51,500,N
9,19,2,2228,9,34,88,2611,N
6,2,4,1300,13,19,122,247,N
7,1,6,604,17,27,39,725,N
8,17,4,1240,4,11,42,345,N
12,4,1,1504,7,82,93,646,Y
8,10,4,918,12,135,13,352,Y
3,28,1,1100,4,10,31,256,Y
4,19,2,1953,5,5,123,369,N
9,6,2,1103,5,7,61,1501,Y
3,8,2,1905,10,23,124,135,N
5,14,7,1233,10,116,88,201,Y
4,23,6,1307,2,41,12,643,N
11,5,7,1653,16,91,21,100,N
12,17,6,1633,8,11,9,866,Y
4,5,2,2256,0,12,53,175,Y
12,15,4,1037,0,46,0,247,N
1,3,2,626,14,17,30,321,N
12,5,2,922,0,60,0,1372,N
9,24,6,1550,4,48,4,342,N
6,5,1,707,1,136,29,228,N
2,1,2,1822,2,19,2,288,N
11,27,7,1811,6,56,48,1005,N
4,25,1,2033,2,92,106,214,N
8,1,1,1301,4,20,9,605,N
3,3,4,813,6,112,13,341,N
8,3,3,1329,1,47,97,587,N
1,7,5,1333,11,51,61,964,N
7,23,6,1438,3,137,20,110,N
3,18,6,1655,2,60,6,569,Y
4,4,1,755,3,23,125,466,N
2,2,4,1341,10,23,122,738,N
2,23,4,1306,0,86,77,1189,N
7,2,7,1722,4,56,17,1788,Y
1,30,7,1121,9,3,30,1452,N
10,2,1,1828,4,32,20,308,N
3,10,4,606,6,3,34,391,N
1,25,2,1740,18,11,60,629,N
9,21,4,1221,2,60,97,644,N
9,21,3,2041,9,23,105,612,N
2,7,2,1422,12,0,126,646,N
4,13,3,1000,5,5,12,469,Y
6,21,3,559,4,35,20,337,N
2,28,2,1808,20,0,50,526,Y
7,6,3,1219,18,10,74,347,N
9,21,4,1356,4,25,17,304,Y
11,19,7,1121,4,32,9,697,Y
4,20,4,1845,10,66,11,235,N
10,5,3,1054,4,34,80,677,N
12,20,2,1525,4,100,47,1137,N
6,21,3,1011,9,28,30,2419,N
9,9,5,1427,12,0,117,781,N
1,19,4,702,4,138,127,377,N
1,5,4,1122,9,10,20,370,N
5,30,2,1534,12,0,93,674,N
8,20,7,2147,3,139,37,77,Y
8,11,4,1801,0,51,11,925,Y
8,24,4,1515,10,60,88,200,N
10,21,6,2148,1,17,64,644,N
4,26,3,1737,0,63,0,1205,N
8,19,5,825,4,22,128,319,N
9,13,3,1834,8,62,56,399,N
12,6,3,1833,6,55,13,214,N
1,12,4,1550,12,0,129,151,N
11,29,2,1559,3,16,17,507,N
11,9,4,1317,3,140,20,86,Y
2,25,6,1530,7,42,88,370,Y
4,2,6,1834,8,54,9,564,N
7,22,5,630,3,141,37,158,N
3,14,2,900,5,15,27,529,N
7,22,6,621,12,142,13,707,N
1,12,3,1023,8,30,65,399,N
2,2,4,1644,6,0,30,533,N
5,12,5,1937,9,47,11,678,Y
6,17,6,1645,0,9,11,783,N
1,24,1,1815,4,41,31,1140,N
7,13,4,2152,9,19,68,2408,N
10,28,5,730,4,72,65,344,N
6,15,3,1330,7,82,22,485,N
1,4,3,1711,0,23,8,258,Y
8,23,3,635,2,2,2,416,N
5,7,7,2134,0,12,13,732,Y
3,3,4,1312,11,21,2,1062,N
7,31,7,956,15,10,60,602,N
2,28,2,1031,15,3,12,861,N
7,16,6,632,0,17,61,650,N
8,10,4,644,5,38,27,120,N
1,4,3,2155,1,10,60,602,N
2,22,2,1409,3,139,37,77,N
7,29,5,812,0,34,11,1745,N
8,18,4,943,0,12,41,247,N
